City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,8.81,53,0,7.2,AR,1704674840
1,sitka,57.0531,-135.33,4.94,52,100,8.75,US,1704674841
2,avarua,-21.2078,-159.775,28.03,83,75,7.2,CK,1704674842
3,port alfred,-33.5906,26.891,18.43,96,100,0.45,ZA,1704674843
4,grytviken,-54.2811,-36.5092,4.97,77,19,0.47,GS,1704674844
5,qaqortoq,60.7167,-46.0333,1.49,97,99,3.91,GL,1704674845
6,port-aux-francais,-49.35,70.2167,8.03,94,77,14.64,TF,1704674846
7,invercargill,-46.4,168.35,21.12,60,100,2.68,NZ,1704674847
8,lebu,-37.6167,-73.65,14.28,87,0,2.98,CL,1704674848
9,blackmans bay,-43.0167,147.3167,15.07,94,100,0.45,AU,1704674849
10,labrador city,52.9463,-66.9114,-30.05,76,0,0.0,CA,1704674850
11,nadi,-17.8,177.4167,31.0,66,40,6.17,FJ,1704674851
12,bilibino,68.0546,166.4372,-30.75,97,100,0.75,RU,1704674851
13,ailuk,10.2197,169.9797,26.66,65,34,7.27,MH,1704674853
14,sao fidelis,-21.6461,-41.7469,24.97,95,19,0.8,BR,1704674854
15,waitangi,-43.9535,-176.5597,14.9,66,8,3.24,NZ,1704674855
16,nar'yan-mar,67.6713,53.087,-14.94,94,12,4.02,RU,1704674856
17,klyuchi,52.2667,79.1667,0.05,95,100,9.77,RU,1704674856
18,uturoa,-16.7333,-151.4333,27.5,76,100,3.27,PF,1704674857
19,ribeira grande,38.5167,-28.7,15.43,76,50,3.58,PT,1704674858
20,ilulissat,69.2167,-51.1,-6.99,68,100,7.72,GL,1704674859
21,papatowai,-46.5619,169.4708,18.25,58,100,2.05,NZ,1704674860
22,thunder bay,48.4001,-89.3168,-12.01,78,0,3.6,CA,1704674676
23,port elizabeth,-33.918,25.5701,18.94,95,75,6.17,ZA,1704674862
24,orumiyeh,37.5527,45.0761,-2.25,86,0,2.06,IR,1704674863
25,puerto ayora,-0.7393,-90.3518,25.31,95,100,1.34,EC,1704674863
26,adamstown,-25.066,-130.1015,22.58,75,100,4.87,PN,1704674864
27,puerto natales,-51.7236,-72.4875,7.88,65,100,7.48,CL,1704674785
28,hermanus,-34.4187,19.2345,16.21,76,17,2.94,ZA,1704674866
29,olonkinbyen,70.9221,-8.7187,2.02,79,100,10.57,SJ,1704674866
30,papao,-17.75,-149.55,29.82,81,36,5.93,PF,1704674867
31,thompson,55.7435,-97.8558,-27.91,83,20,1.03,CA,1704674868
32,cienfuegos,22.1461,-80.4356,25.08,88,37,1.54,CU,1704674868
33,mount pearl,47.5166,-52.7813,-4.92,80,20,10.29,CA,1704674812
34,vrangel',42.7297,133.0839,-12.25,58,7,4.52,RU,1704674870
35,isafjordur,66.0755,-23.124,4.29,95,100,5.47,IS,1704674871
36,zavallya,48.2135,30.0156,-4.71,92,100,8.7,UA,1704674871
37,dazuocun,24.8862,118.9643,12.74,73,15,10.55,CN,1704674872
38,yaren,-0.5472,166.916,29.17,72,100,4.95,NR,1704674873
39,ambalavao,-21.8333,46.9333,20.41,97,100,0.95,MG,1704674873
40,rosetta,31.4044,30.4164,17.41,62,10,3.46,EG,1704674874
41,bardai,11.65,7.2333,18.08,16,0,3.73,NG,1704674875
42,hithadhoo,-0.6,73.0833,28.28,75,94,4.77,MV,1704674876
43,port lincoln,-34.7333,135.8667,17.73,71,95,6.29,AU,1704674876
44,goure,13.9835,10.2704,17.53,18,0,3.84,NE,1704674877
45,bethel,41.3712,-73.414,1.05,75,100,1.54,US,1704674878
46,east london,-33.0153,27.9116,19.71,88,100,1.42,ZA,1704674879
47,lompoc,34.6391,-120.4579,13.77,55,0,8.23,US,1704674879
48,kone,-21.0595,164.8658,29.51,63,100,2.11,NC,1704674880
49,remire-montjoly,4.9167,-52.2667,27.02,74,0,1.54,GF,1704674881
50,ust-nera,64.5667,143.2,-43.68,98,79,1.57,RU,1704674881
51,port mathurin,-19.6833,63.4167,25.05,88,40,1.03,MU,1704674882
52,punta arenas,-53.15,-70.9167,9.06,61,100,8.75,CL,1704674730
53,micoud,13.8167,-60.9,27.96,74,40,11.32,LC,1704674884
54,kamaishi,39.2667,141.8833,1.35,41,3,6.94,JP,1704674884
55,viitasaari,63.0667,25.8667,-5.1,88,100,5.14,FI,1704674885
56,jamestown,42.097,-79.2353,0.57,99,100,4.12,US,1704674491
57,fort st. john,56.2499,-120.8529,-22.06,84,20,2.57,CA,1704674732
58,sultanah,24.4926,39.5857,21.25,35,0,2.06,SA,1704674887
59,constantia,44.1833,28.65,4.38,89,100,7.69,RO,1704674646
60,san pedro,14.35,121.0167,29.06,76,20,6.26,PH,1704674889
61,la passe,45.5549,-0.8967,5.13,84,100,5.02,FR,1704674889
